id;accepted_at;expected_delivery;decision
1;2019-12-27T17:40:32;2019-12-28T08:58:48;Bedfordshire Shoes
2;2019-12-27T22:35:19;2019-12-28T06:17:30;feed Handcrafted Metal
3;2019-12-27T20:25:02;2019-12-27T17:23:13;productize
4;2019-12-27T18:59:45;2019-12-27T10:47:59;Specialist Stand-alone Direct
5;2019-12-27T16:52:01;2019-12-28T01:53:10;port Cambridgeshire Dynamic
6;2019-12-27T22:06:27;2019-12-27T19:45:37;Concrete Bike microchip
7;2019-12-27T12:39:30;2019-12-27T23:30:27;overriding Moldova
8;2019-12-28T03:16:59;2019-12-27T11:38:18;mission-critical copying Rustic Granite Shirt
9;2019-12-28T00:07:31;2019-12-27T10:55:22;infomediaries Grove
10;2019-12-28T07:53:50;2019-12-27T12:33:47;support
